frameno,ant_id,x,y,next_x,next_y,speed,angle,cos(angle)
557,48,337.72,99.62100000000001,325.092,99.62100000000001,12.628000000000043,0.0,1.0
558,4,405.451,471.567,407.747,469.271,3.247034339208615,-0.7853981633974483,0.7071067811865476
558,21,483.51300000000003,143.244,489.25300000000004,143.244,5.740000000000009,0.0,1.0
558,22,869.235,424.5,870.383,423.352,1.6235171696043478,-0.7853981633974483,0.7071067811865476
558,23,889.556,238.055,893.028,239.212,3.6597039497751482,0.32166414637819024,0.9487106191235221
558,24,969.41,107.27799999999999,969.41,107.27799999999999,0.0,,
558,25,919.747,263.783,919.747,263.783,0.0,,
558,26,931.22,-30.44394,934.692,-26.97197,4.910128275401761,0.785393843102289,0.7071098360899524
558,29,669.665,-7.297499999999999,667.35,-11.9268,5.1758712783452925,1.1070882353168123,0.44726769185419885
558,42,997.81,-3.6972999999999985,997.81,-3.6972999999999985,0.0,,
558,48,325.092,99.62100000000001,320.5,101.917,5.1340120763395,-0.4636476090008061,0.8944271909999159
559,4,407.747,469.271,414.635,468.123,6.983011384782337,-0.16514867741463085,0.9863939238321431
559,21,489.25300000000004,143.244,493.845,144.392,4.733325258209058,0.24497866312686414,0.9701425001453319
559,22,870.383,423.352,870.383,423.352,0.0,,
559,23,893.028,239.212,888.399,238.055,4.771403357503967,0.24492783203860977,0.9701548272417607
559,24,969.41,107.27799999999999,969.41,107.27799999999999,0.0,,
559,25,919.747,263.783,919.747,263.783,0.0,,
559,26,934.692,-26.97197,932.377,-23.5,4.172984625049588,-0.9827232722079162,0.5547588136566752
559,29,667.35,-11.9268,667.35,-11.9268,0.0,,
559,42,997.81,-3.6972999999999985,997.81,-3.6972999999999985,0.0,,
559,48,320.5,101.917,312.464,101.917,8.036000000000001,0.0,1.0
560,4,414.635,468.123,405.451,469.271,9.255471895046707,-0.12435499454676446,0.9922778767136673
560,21,493.845,144.392,491.549,144.392,2.296000000000049,0.0,1.0
560,22,870.383,423.352,870.383,423.352,0.0,,
560,23,888.399,238.055,893.028,238.055,4.629000000000019,0.0,1.0
560,24,969.41,107.27799999999999,968.25,108.435,1.6383677853278094,-0.784103386391186,0.7080217338183757
560,25,919.747,263.783,919.747,263.783,0.0,,
560,26,932.377,-23.5,932.377,-28.12929,4.629290000000001,-1.5707963267948966,6.123233995736766e-17
560,29,667.35,-11.9268,665.035,-11.9268,2.3150000000000546,0.0,1.0
560,42,997.81,-3.6972999999999985,997.81,-3.6972999999999985,0.0,,
560,48,312.464,101.917,310.168,100.769,2.56700603816975,0.4636476090008061,0.8944271909999159
561,4,405.451,469.271,410.043,471.567,5.1340120763395,0.4636476090008061,0.8944271909999159
561,21,491.549,144.392,494.99300000000005,148.984,5.740000000000054,0.9272952180016033,0.6000000000000072
561,22,870.383,423.352,870.383,423.352,0.0,,
561,23,893.028,238.055,893.028,238.055,0.0,,
561,24,968.25,108.435,968.25,109.59200000000001,1.1570000000000107,1.5707963267948966,6.123233995736766e-17
561,25,919.747,263.783,919.747,263.783,0.0,,
561,26,932.377,-28.12929,931.22,-30.44394,2.587712043968538,1.107261052100541,0.4471131178203044
561,29,665.035,-11.9268,662.721,-11.9268,2.3139999999999645,0.0,1.0
561,42,997.81,-3.6972999999999985,997.81,-3.6972999999999985,0.0,,
561,48,310.168,100.769,305.576,103.065,5.1340120763395,-0.4636476090008061,0.8944271909999159
562,4,410.043,471.567,406.599,469.271,4.13917286423267,0.5880026035475637,0.8320502943378458
562,21,494.99300000000005,148.984,499.58500000000004,151.28,5.1340120763395,0.4636476090008061,0.8944271909999159
562,22,870.383,423.352,870.383,423.352,0.0,,
562,23,893.028,238.055,889.556,239.212,3.6597039497751482,-0.32166414637819024,0.9487106191235221
562,24,968.25,109.59200000000001,968.25,106.12,3.4720000000000084,-1.5707963267948966,6.123233995736766e-17
562,25,919.747,263.783,919.747,263.783,0.0,,
562,26,931.22,-30.44394,934.692,-31.601266,3.6598070263711797,-0.32174865347377984,0.9486838991733899
562,29,662.721,-11.9268,665.035,-14.241399999999999,3.272914474898455,-0.7855277922261813,0.7070151138219883
562,42,997.81,-3.6972999999999985,997.81,-3.6972999999999985,0.0,,
562,48,305.576,103.065,299.836,106.50899999999999,6.6939327752824065,-0.5404195002705819,0.8574929257125453
563,4,406.599,469.271,407.747,468.123,1.6235171696043478,-0.7853981633974483,0.7071067811865476
563,21,499.58500000000004,151.28,493.845,148.984,6.182169198590417,0.3805063771123632,0.92847669088526
563,22,870.383,423.352,870.383,423.352,0.0,,
563,23,889.556,239.212,893.028,238.055,3.6597039497751482,-0.32166414637819024,0.9487106191235221
563,24,968.25,106.12,964.782,107.27799999999999,3.6562259229976064,-0.32226949570968494,0.9485190666655178
563,25,919.747,263.783,919.747,263.783,0.0,,
563,26,934.692,-31.601266,932.377,-26.97197,5.175867700745089,-1.1070878896605914,0.4472680010091448
563,29,665.035,-14.241399999999999,669.665,-15.398700000000002,4.772446258471641,-0.24493800714258057,0.9701523598681102
563,42,997.81,-3.6972999999999985,997.81,-3.6972999999999985,0.0,,
563,48,299.836,106.50899999999999,291.8,106.50899999999999,8.036000000000001,0.0,1.0
564,4,407.747,468.123,404.303,460.087,8.742907525531775,1.1659045405098114,0.3939192985791693
564,21,493.845,148.984,496.14099999999996,151.28,3.247034339208575,0.7853981633974606,0.7071067811865388
564,22,870.383,423.352,870.383,423.352,0.0,,
564,23,893.028,238.055,891.871,239.212,1.636245091665686,-0.7853981633974237,0.7071067811865649
564,24,964.782,107.27799999999999,964.782,107.27799999999999,0.0,,
564,25,919.747,263.783,923.191,268.374,5.739200031363307,0.9271906738146405,0.6000836320705789
564,26,932.377,-26.97197,934.692,-28.12929,2.5881681905162686,-0.4635854040424513,0.894455008172508
564,29,669.665,-15.398700000000002,662.721,-15.398700000000002,6.94399999999996,0.0,1.0
564,42,997.81,-3.6972999999999985,1011.5899999999999,-3.6972999999999985,13.779999999999973,0.0,1.0
564,48,291.8,106.50899999999999,287.209,106.50899999999999,4.591000000000008,0.0,1.0
565,4,404.303,460.087,404.303,461.235,1.1480000000000246,1.5707963267948966,6.123233995736766e-17
565,21,496.14099999999996,151.28,496.14099999999996,146.688,4.592000000000013,-1.5707963267948966,6.123233995736766e-17
565,22,870.383,423.352,870.383,423.352,0.0,,
565,23,891.871,239.212,891.871,238.055,1.1569999999999823,-1.5707963267948966,6.123233995736766e-17
565,24,964.782,107.27799999999999,964.782,107.27799999999999,0.0,,
565,25,923.191,268.374,919.747,263.783,5.739200031363307,0.9271906738146405,0.6000836320705789
565,26,934.692,-28.12929,933.534,-25.81465,2.5881503684291682,-1.1069137196645729,0.4474237718664093
565,29,662.721,-15.398700000000002,665.035,-14.241399999999999,2.587264827960184,0.4637513201303742,0.8943808051626229
565,42,1011.5899999999999,-3.6972999999999985,1004.7,-3.6972999999999985,6.889999999999873,0.0,1.0
